publishedAt,comment,sentiment_label
2025-01-23 14:01:23+00:00,But can it run Crysis,Neutral
2025-01-23 14:02:02+00:00,Great now I can finally afford a 1080ti,Positive
2025-01-23 14:02:09+00:00,"My entire PC costs this much, lmao",Negative
2025-01-23 14:03:09+00:00,That sponsor segment is an absolute gem,Positive
2025-01-23 14:03:24+00:00,Dennis ad-read is perfection,Positive
2025-01-23 14:03:29+00:00,So it still cannot play Wukong at 60 FPS on 4k... got it.,Negative
2025-01-23 14:03:38+00:00,so basically at scalper prices these are gonna be completely not worth it coming from the 40 series,Negative
2025-01-23 14:04:40+00:00,crazy how no one noticed the 5 big booms from the costos guys,Neutral
2025-01-23 14:05:49+00:00,What an absolutely trip of a sponsor segment that at the start was. So much happened 😵‍💫,Positive
2025-01-23 14:05:56+00:00,Me with my GT 630: “I’ll wait another year”,Neutral
2025-01-23 14:06:08+00:00,The intro with that 5090 cake and optical inclusion is insane!,Positive
2025-01-23 14:07:05+00:00,"So sorry you had to lose your kidney , you get 5 big booms 0:28😂💥💥💥💥💥",Negative
2025-01-23 14:07:29+00:00,1:03 lmao the foam under the pants to make sure he doesn't get cut,Neutral
2025-01-23 14:07:41+00:00,21:01 David summed it up PERFECTLY with a single sentence.,Positive
2025-01-23 14:08:27+00:00,That Dennis Ad transition IS ABSOLUTE CINEMA,Negative
2025-01-23 14:09:28+00:00,I'm sorry but is wrong with Wukong's RT? The 5090 can't even hit 60fps at 1440p at Max without upscaling? Wtf?,Negative
2025-01-23 14:13:00+00:00,"I remember when the 20 series dropped and we were like ""oh wow it's over $1000 but I guess the ray tracing is a big generational upgrade"". lol",Positive
2025-01-23 14:13:50+00:00,Moore's Law truly is dead,Negative
2025-01-23 14:15:00+00:00,I'm really disappointed with the -18% letter count 05:37,Negative
2025-01-23 14:16:05+00:00,the biggest advancement this generation was the cooler shrinking to 1/2 the 40 series sizes,Positive
2025-01-23 14:20:48+00:00,When the mid tier card come out it would be nice to see comparisons to the mid tier’s 40 and 30 cards since most people are probably still holding out for those,Neutral
2025-01-23 14:21:06+00:00,At this rate the RTX 6090 is gonna cost your firstborn child and 3 years of hard labour😭😭,Negative
2025-01-23 14:22:17+00:00,"By 2050, the GPU itself will be AI generated.",Neutral
2025-01-23 14:22:38+00:00,It gave me a lot of insight to know that this architectures name is 18% shorter. ty ltt,Positive
2025-01-23 14:23:11+00:00,Hey LTT. It's a tradition to test it out on 8k for the fun of it. Don't skip that out y'all.,Positive
2025-01-23 14:23:34+00:00,"Forget the 4090, that Segway was quite possibly the greatest cleanest transition to a Segway i ever seen in my life. Good lord . . .",Positive
2025-01-23 14:23:53+00:00,4:53 I do not think that Neural Face is an improvement. It just looks more fake and more uncanny.,Negative
2025-01-23 14:25:11+00:00,0:28 no way Linus quoting AJ and Big Justice,Neutral
2025-01-23 14:25:39+00:00,21:47 LOOOOL THATS WHAT THEY TALKED ABOUT ON WAN SHOW??,Neutral
2025-01-23 14:29:28+00:00,The coolest thing about this card is the cooler.,Positive
2025-01-23 14:30:24+00:00,"The ""multiple presenters"" is something LTT should consider more often, amazing video guys , great job !",Positive
2025-01-23 14:33:10+00:00,~4:06 I don't know why Alex has a hammer..... but I approve !,Positive
2025-01-23 14:34:46+00:00,5080 seems actually pretty nice and 1000 bucks cheaper than the 5090. Rather invest that extra money in a nice 4k monitor,Positive
2025-01-23 14:37:21+00:00,"This was an extremely well produced video! Love how all the Hosts were showcased ""in their element"".",Positive
2025-01-23 14:39:01+00:00,"5:49 ""-18% letter count"" Very important stat ! 😆",Positive
2025-01-23 14:40:10+00:00,"I always find these data-heavy videos interesting, but often find my attention strays away by the third or fourth graph. This format with different presenters covering different areas is a fantastic way to alleviate that! The regular change of pace, voice and presentation style really kept my attention - you absolutely nailed the format here, which isn't easy with a video like this!",Positive
2025-01-23 14:41:34+00:00,My entire setup costs half this much,Neutral
2025-01-23 14:42:39+00:00,"Legit one of the best sponsor spots I have seen.  Never do I go back and watch again... but three times for this one, haha!",Positive
2025-01-23 14:46:05+00:00,21:44 Did Linus have jaw surgery or something?,Neutral
2025-01-23 14:46:57+00:00,@5:33 the “-18% Letter Count” got me so good. well played editors!,Positive
2025-01-23 14:47:29+00:00,"theres something so epic when ltt make multi-host per segment videos, each host talking about the things that we know they are best at.",Positive
2025-01-23 14:50:58+00:00,16:26 Can we get Oliver a new chair?,Neutral
2025-01-23 14:53:39+00:00,THAT was a great video!   The presenter switching felt perfect   It made me feel like they were catching me up on the group project and everybody had done their part that they were proud of and good at!  Awesome video LMG!,Positive
2025-01-23 14:55:42+00:00,I wish Linus did a review of lossless scalling vs 50 series mulitfame gen next. This needs more testing in competitive games for sure.,Neutral
2025-01-23 14:56:21+00:00,0:52 Lmao that Ai cake,Neutral
2025-01-23 14:57:23+00:00,"The AI performance comparation at 5:36 is wrong! For 4090 value is provided for 8 bit quantization, but for 5090 it is 4bit quantization. For 8bit I would expect half of presented 5090 AI performance.",Negative
2025-01-23 14:57:34+00:00,I can’t wait to run Tarkov at 30 FPS on the RTX 5090 😍,Positive
2025-01-23 15:10:08+00:00,"They must've accidentally sent my order to your studio Linus, please send it back",Negative
2025-01-23 15:10:14+00:00,"This is why I love Linus tech tips, they don’t milk Gpu and cpu news for 2 months straight with 2 videos a day with no useful info. Instead they post the day of and post a banger video",Positive
2025-01-23 15:13:57+00:00,"You know what would be a cool experiment: power limit all GPUs to one share value (200W or 300W or whatever would be to have at least 8 GPUs in test) and see how much you can get. I do not know if LTT can pull out such a complex test, but it would be very interesting.",Positive
2025-01-23 15:15:39+00:00,4:40 ok but why do you have a hammer.,Neutral
2025-01-23 15:17:14+00:00,"Moore’s law hit Nvidia hard, or they had all their R&D on AI and just went with a good old power overclock. I’m sticking with my 4090.",Neutral
2025-01-23 15:20:04+00:00,"As someone who only listens to the WAN show, not watch it, this was my first introduction to Dan.",Neutral
2025-01-23 15:20:41+00:00,I really liked multiple people reviewing this. I felt like I was more engaged than just one person talking the whole time,Positive
2025-01-23 15:22:21+00:00,"5:18 - close your eyes, and you have Kermit the Frog explaining complex graphical technology to you.",Neutral
2025-01-23 15:22:27+00:00,The person that edited the transformer audio effect at 11:03 has my entire heart,Positive
2025-01-23 15:22:46+00:00,"Great review. More than 20 minutes of information without transitions in scenery, music, or personality can start to become sterile. This feels like a newscast with experts giving us ""you must pay attention"" content. $2k is a crazy price for 25% better performance on average.",Positive
2025-01-23 15:28:14+00:00,that's exactly 1300$ more than i am willing to pay,Negative
2025-01-23 15:31:39+00:00,"3:25 : ""Making the 5090 look truly less like a next generation product and more of a 4090 super gt Zeeekai BUDOKAAAAII""😂😂😂😂",Neutral
2025-01-23 15:32:10+00:00,"""frame generation work's the best when it makes the least sense to use it""",Neutral
2025-01-23 15:32:44+00:00,The 5070 is gonna sell out instantly!,Positive
2025-01-23 15:36:24+00:00,The best part of the new 5090 is that pricing for the 4090 will drop.,Positive
2025-01-23 15:40:09+00:00,Can't believe they didn't test the 5090 on Vampire Survivors.,Negative
2025-01-23 15:47:57+00:00,They whipped out the LTT avengers for this video,Neutral
2025-01-23 15:56:00+00:00,9:40 peak cringe,Neutral
2025-01-23 15:56:13+00:00,Unironically the video editor might be the best presenter in this video :D clear spoken and with a nice tempo,Positive
2025-01-23 15:57:00+00:00,0:28 bro thinks he’s big justice💀,Neutral
2025-01-23 15:58:28+00:00,Ay. I extremely appreciate the section with the video editor! I was shopping for a CPU recently and found a distinct lack of mentions for productivity and too much focus on “gaming performance”.,Positive
2025-01-23 16:13:52+00:00,"The 7900XTX lags behind in many games by only around 20 FPS, and that's AMD's last generation? Hard pass on the 5090 for now. Since I'm not a 4K gamer or interested in AI, I'll wait for AMD's next release, compare it to the RTX 4090, and pick one of those as my upgrade.",Negative
2025-01-23 16:15:08+00:00,Not upgrading my 4090 FE.  I'm jealous of the new cooler though.,Negative
2025-01-23 16:24:30+00:00,"Now, this is a proper review not just a collection of graphs. Every aspect of the new GPU is covered. Excellent job guys.",Positive
2025-01-23 16:32:56+00:00,"The biggest problem with all the gaming focused features and tech, is that I simply don't need or care about them when actually playing a game. They may look cool in tech demos, but I never want to turn the settings on because it doesn't look or feel better to play an overly polished, shiny or blurry game.",Negative
2025-01-23 16:35:54+00:00,"This is why I don't watch other graphics review channels that don't show comparisons and statistics. Ahem... ... ahem... Keep up the good work, Linus team!",Positive
2025-01-23 16:37:20+00:00,"For those wondering, Linus had his wisdom teeth out.",Neutral
2025-01-23 16:40:04+00:00,"I guess my left kidney can wait until the RTX 6090 launches, not worth the upgrade",Negative
2025-01-23 16:42:31+00:00,"Regardless of the performance, the price point of this card is nothing short of absolutely fucking mental.",Negative
2025-01-23 16:50:40+00:00,"The cheapest 4090 on Amazon right now is $2,497.",Positive
2025-01-23 16:50:54+00:00,This costs more than what my parents paid for our house,Negative
2025-01-23 16:55:48+00:00,This gpu makes AMD 7900 XTX look like an even better value prop than it already is. Really the thinking man's gpu,Positive
2025-01-23 16:58:49+00:00,8:31 why am I getting mean girl vibes 💅🏼 😂,Negative
2025-01-23 17:07:55+00:00,"Don't forget, those cards never sell at MSRP. Even the cheapest 4090s are still selling above the announced price today.",Neutral
2025-01-23 17:13:02+00:00,Very impressive production considering the limited time and hard deadline for review videos,Positive
2025-01-23 17:16:56+00:00,0:40 Jumpscare Dont click it,Neutral
2025-01-23 17:32:58+00:00,Paying 2000 for a card that gets 60 fps in 1440p ultra in ANY game is absolutely insane.,Neutral
2025-01-23 17:37:32+00:00,"I'm interested in seeing how the 5070 compares to my current 3070. The sub $600 price bracket is a lot more interesting to most gamers, I think. I'm looking forward to that review.",Positive
2025-01-23 17:43:48+00:00,"Warning, absolute presenter CRINGE starts at 8:10",Negative
2025-01-23 17:46:34+00:00,"your wallet just passed away, it gets 5 big booms, 0:27",Neutral
2025-01-23 17:50:04+00:00,I love how Alex never put the hammer down even once 😂,Positive
2025-01-23 18:08:11+00:00,0:22 guys Linus gave the 5090 5 big booms.,Neutral
2025-01-23 18:11:20+00:00,0:27 The light leaving Linus' eyes as he's forced to do this stupid meme 🥲,Negative
2025-01-23 18:13:10+00:00,Elimination of the Moire patterns 12:15  could be a pretty big deal. That specific type of artifact is easily the most noticeable and distracting for me.,Negative
2025-01-23 18:39:16+00:00,"It looks like it has all been said already but ""our biggest review"" is no lie!  What a phenomenal job you guys have done here! The sponsor segments, the different hosts with their own bite-sized subjects, the great differentiation between raw performance and DLSS performance, the great graphs including very solid breadcrumbs on where to look, the exact right amount of humor, objective fact and opinion. Genuinely fantastic, great to see! <3",Positive
2025-01-23 18:43:43+00:00,"If the 40 series was disappointing, this is even more disappointing.",Negative
2025-01-23 18:47:02+00:00,5:33 “Change: -18% letter count” lmaooo that’s awesome,Positive
2025-01-23 18:47:19+00:00,"Linus: I'm not a workaholic.  Also Linus: 21:45  LOL",Neutral
2025-01-23 18:58:21+00:00,"THANK YOU for finding ways to take all of this incredibly technical and complicated techno jargon and turn it into an easily digestible 20 minute video. This is one aspect that I've found many other outlets are having a hard time doing for this release specifically, either simplifying is way too much that It becomes almost uninformative, or going way too into the weeds and confusing the hell out of me.",Negative
2025-01-23 18:59:17+00:00,"I really don't see the point of frame gen... The fps is higher, but latency is the same, so none of that translates to a perceived increase im responsiveness. Sure, you might have a little more motion clarity, but it doesnt seem worth it considering the artifacts",Negative
2025-01-23 19:10:45+00:00,"No matter how much data is used or how many times the AI model is trained, it will never be flawless. Issues like ghosting, flickering, and others will always persist, as game content is dynamic and unpredictable.",Negative
2025-01-23 19:12:02+00:00,"I appreciate the AI benchmarks but why are all the LLM tests with 7B and 13B models? I can run those on my 4060, no one is buying a 32GB card to run models that small",Neutral
2025-01-23 19:37:23+00:00,"My entire PC (1080p 75hz IPS LG monitor, peripherals, all the components: Ryzen 5 3600, 16gb DDR4 3200mhz, b550m, Rx 6700xt 12gb, 500w EVGA 80 plus white, and my desk and  bills included) cost less than that bro...",Neutral
2025-01-23 19:57:59+00:00,"Corrections: 6:14 - Jake says ""GDDR6 uses Pam4"" when instead it should be ""GDDR6x uses Pam4""",Neutral
2025-01-23 20:42:52+00:00,"$2,000 is fucking insane for a card, let alone that the performance increase doesn’t meet the price increase. I can’t believe NVIDIA even released this thing 😂",Negative
2025-01-23 20:48:35+00:00,This video had the greatest sponsored segment I've ever seen. 0:54,Positive
2025-01-23 20:58:12+00:00,4:58 YouTube compression does not like this part 💀,Negative
2025-01-23 21:45:26+00:00,The 4000D test with the new cooler style is such a thoughtful addition to the review. Its not something that was 100% necessary but really was a nice tidbit to know and consider. It really shows the thoroughness of the review.,Positive
2025-01-23 22:35:06+00:00,"the video editor slayed in this video - the flow, the quality and the animations are spot on. Well done anonymous person",Positive
2025-01-23 22:41:55+00:00,NVIDIA 6090 predictions Cuda cores: 29000 Process node: 3nm TSMC Power usage: 500 watts VRAM: 32GB Functions: DLSS 5 & reflex 3 Price: 1799$ Release date: October 27th 2027,Neutral
2025-01-23 22:44:01+00:00,"Oliver Cao's segment was really great! Congrats! Voice, tone, tempo → Chefs kiss. I hope he gets more screen time!",Positive
2025-01-23 23:03:14+00:00,"I love how watching GN, LTT and HUB will give you 3 completely different reviews, with some overlap that says the same things but all 3 have such different perspectives that I feel like they were all necessary. Some to get confirmation of the main results, some other to get morenrelevant information.   Good job everyone!  And then there's my country's version which is also very good, and covered some more stuff but mostly how it fits in the Italian market. Shoutout to Prodigeek, despite the annoying clickbaity title, thumbnail and first 10 to 20 seconds of their videos, the rest is fun, informational and cool.",Positive
2025-01-24 00:43:08+00:00,"One of the few groups of people actually need this kind of GPU processing power is the VR Flight Sim guys, a VR headset is eqvivalent to running a 6-8K monitor, and you need >60fps to make it smooth, >90fps is preferred..  So: Please add some testing with DCS in VR for future videos, thank you!",Positive
