id,video_id,comment,likeCount,publishedAt
1,Q82tQJyJwgk,"Corrections:<br><a href=""https://www.youtube.com/watch?v=Q82tQJyJwgk&amp;t=374"">6:14</a> - Jake says &quot;GDDR6 uses Pam4&quot; when instead it should be &quot;GDDR6x uses Pam4&quot;",2013,2025-01-23T19:57:59Z
2,Q82tQJyJwgk,the biggest advancement this generation was the cooler shrinking to 1/2 the 40 series sizes,12443,2025-01-23T14:16:05Z
3,Q82tQJyJwgk,&quot;frame generation work&#39;s the best when it makes the least sense to use it&quot;,8124,2025-01-23T15:32:10Z
4,Q82tQJyJwgk,"My entire PC costs this much, lmao",13459,2025-01-23T14:02:09Z
5,Q82tQJyJwgk,"the fact that the 1080 Ti is still put on these graphs, is a testament to how many gamers are still running around with one and that it can still run with high end gaming (not incredibly well, but, at all)",472,2025-01-25T04:17:05Z
6,Q82tQJyJwgk,Great now I can finally afford a 1080ti,9843,2025-01-23T14:02:02Z
7,Q82tQJyJwgk,"Don&#39;t forget, those cards never sell at MSRP. Even the cheapest 4090s are still selling above the announced price today.",2525,2025-01-23T17:07:55Z
8,Q82tQJyJwgk,Unironically the video editor might be the best presenter in this video :D clear spoken and with a nice tempo,3347,2025-01-23T15:56:13Z
9,Q82tQJyJwgk,Let’s all agree this ain’t a gaming card. Is a grab for AI market.,225,2025-01-24T21:32:28Z
10,Q82tQJyJwgk,"I always find these data-heavy videos interesting, but often find my attention strays away by the third or fourth graph. This format with different presenters covering different areas is a fantastic way to alleviate that! The regular change of pace, voice and presentation style really kept my attention - you absolutely nailed the format here, which isn&#39;t easy with a video like this!",2907,2025-01-23T14:40:10Z
11,Q82tQJyJwgk,That sponsor segment is an absolute gem,3500,2025-01-23T14:03:09Z
12,Q82tQJyJwgk,So it still cannot play Wukong at 60 FPS on 4k... got it.,3870,2025-01-23T14:03:29Z
13,Q82tQJyJwgk,"I think this essentially explained the differences in observed generation improvements. <br><br>30 series to 40 series: Samsung 8nm (8LPH) to TSMC 4nm (4N)<br>40 series to 50 series: TSMC 4nm (4N) to TSMC 4nm (4NP)",166,2025-01-25T04:14:28Z
14,Q82tQJyJwgk,"<a href=""https://www.youtube.com/watch?v=Q82tQJyJwgk&amp;t=333"">5:33</a> “Change: -18% letter count” lmaooo that’s awesome",816,2025-01-23T18:47:02Z
15,Q82tQJyJwgk,"Let me get this straight... So, Nvidia says we should want the 5090 because we get 25-30% more performance while consuming 36% more power, with a tiny chance at the the privilege to pay just 25% more than when compared to the 4090 launch? <br><br>It&#39;s been almost 2.5 years since the 4090 and in that time Nvidia essentially gives a bigger die with 33% more of the same 4090 GPU cores another 33% more slightly faster VRAM, basically 33% more 4090 for 25-30% more performance and more fake/inferred frames? <br><br>Nvidia didn&#39;t innovate or improve the GPU hardware one bit, every added capability or real generational improvement is the AI specific hardware, they took a bit more of their other Enterprise AI tech and bolted them on, switched to the latest Gen VRAM, jacked up the price and tells us we&#39;ll take what they give us and we&#39;ll like it. <br><br>Seriously, the comments about this being a 4090 Ti are really quite accurate. This is little more than a 4090 with some more cores and newer VRAM which Nvidia had little to do with outside of deciding to use it. <br><br>If this isn&#39;t proof that Nvidia is done with gaming GPUs then I don&#39;t know what else to tell you. Why waste time and resources on the consumer gaming GPU products when the same Blackwell silicon can be used in enterprise AI solutions and results in many times higher profit margins than when sold in products for gamers?",914,2025-01-24T00:58:52Z
16,Q82tQJyJwgk,"theres something so epic when ltt make multi-host per segment videos, each host talking about the things that we know they are best at.",1029,2025-01-23T14:47:29Z
17,Q82tQJyJwgk,"With every new gen of graphics cards, the poorer i feel. These prices are getting out of hand.",43,2025-01-24T17:17:56Z
18,Q82tQJyJwgk,"I guess my left kidney can wait until the RTX 6090 launches, not worth the upgrade",480,2025-01-23T16:40:04Z
19,Q82tQJyJwgk,"The cheapest 4090 on Amazon right now is $2,497.",990,2025-01-23T16:50:40Z
20,Q82tQJyJwgk,I remember when the 20 series dropped and we were like &quot;oh wow it&#39;s over $1000 but I guess the ray tracing is a big generational upgrade&quot;. lol,1512,2025-01-23T14:13:00Z
21,Q82tQJyJwgk,"You know, something that almost everyone is ignoring... The thing just has 33% more Shaders... That means it&#39;s 0% faster, just more shaders. It doesn&#39;t get more basic than that. This actually sounds like progress is at a halt. It&#39;s just as basic as AMD bringing out a 7600 variant (&quot;even slower!&quot;) recently...",8,2025-01-25T21:46:00Z
22,Q82tQJyJwgk,so basically at scalper prices these are gonna be completely not worth it coming from the 40 series,1099,2025-01-23T14:03:38Z
23,Q82tQJyJwgk,~20-30% more REAL frames on average for like 30% more power usage isn&#39;t great...<br><br>The 4090 was like ~80-90% more for the same power as a 3090ti.,364,2025-01-24T03:53:06Z
24,Q82tQJyJwgk,The intro with that 5090 cake and optical inclusion is insane!,960,2025-01-23T14:06:08Z
25,Q82tQJyJwgk,"@<a href=""https://www.youtube.com/watch?v=Q82tQJyJwgk&amp;t=333"">5:33</a> the “-18% Letter Count” got me so good. well played editors!",555,2025-01-23T14:46:57Z
26,Q82tQJyJwgk,"Now, this is a proper review not just a collection of graphs. Every aspect of the new GPU is covered. Excellent job guys.",921,2025-01-23T16:24:30Z
27,Q82tQJyJwgk,Just a huge commercial,5,2025-01-27T22:24:20Z
28,Q82tQJyJwgk,"the video editor slayed in this video - the flow, the quality and the animations are spot on. Well done anonymous person",308,2025-01-23T22:35:06Z
29,Q82tQJyJwgk,"The person that edited the transformer audio effect at <a href=""https://www.youtube.com/watch?v=Q82tQJyJwgk&amp;t=663"">11:03</a> has my entire heart",119,2025-01-23T15:22:27Z
30,Q82tQJyJwgk,"<a href=""https://www.youtube.com/watch?v=Q82tQJyJwgk&amp;t=293"">4:53</a> I do not think that Neural Face is an improvement. It just looks more fake and more uncanny.",355,2025-01-23T14:23:53Z
31,Q82tQJyJwgk,"30% faster, 37% more energy, 33% more VRAM, 25% more expensive after 27 months! What a great deal!<br>/s",3,2025-01-27T12:07:46Z
32,Q82tQJyJwgk,"4090 was never stupid, it was 100% faster than the gen before it for the same price.<br>5090 is 30% faster for 50% more cost (Over 100% for 3rd party cards).<br>This is not a gaming card, it&#39;s an AI card.",215,2025-01-24T08:23:19Z
33,Q82tQJyJwgk,"The &quot;multiple presenters&quot; is something LTT should consider more often, amazing video guys , great job !",445,2025-01-23T14:30:24Z
34,Q82tQJyJwgk,"~<a href=""https://www.youtube.com/watch?v=Q82tQJyJwgk&amp;t=246"">4:06</a> I don&#39;t know why Alex has a hammer..... but I approve !",336,2025-01-23T14:33:10Z
35,Q82tQJyJwgk,They gay guy is just too much for me. I feel violated,5,2025-01-28T01:35:47Z
36,Q82tQJyJwgk,that&#39;s exactly 1300$ more than i am willing to pay,546,2025-01-23T15:28:14Z
37,Q82tQJyJwgk,"I&#39;m really disappointed with the -18% letter count <a href=""https://www.youtube.com/watch?v=Q82tQJyJwgk&amp;t=337"">05:37</a>",263,2025-01-23T14:15:00Z
38,Q82tQJyJwgk,"<a href=""https://www.youtube.com/watch?v=Q82tQJyJwgk&amp;t=1261"">21:01</a> David summed it up PERFECTLY with a single sentence.",296,2025-01-23T14:07:41Z
39,Q82tQJyJwgk,That&#39;s going to be 5k + in Australia 😂,1,2025-02-07T08:07:58Z
40,Q82tQJyJwgk,"This video had the greatest sponsored segment I&#39;ve ever seen. <a href=""https://www.youtube.com/watch?v=Q82tQJyJwgk&amp;t=54"">0:54</a>",844,2025-01-23T20:48:35Z
41,Q82tQJyJwgk,"One of the few groups of people actually need this kind of GPU processing power is the VR Flight Sim guys, a VR headset is eqvivalent to running a 6-8K monitor, and you need &gt;60fps to make it smooth, &gt;90fps is preferred..<br><br>So: Please add some testing with DCS in VR for future videos, thank you!",139,2025-01-24T00:43:08Z
42,Q82tQJyJwgk,"<a href=""https://www.youtube.com/watch?v=Q82tQJyJwgk&amp;t=40"">0:40</a> Jumpscare Dont click it",66,2025-01-23T17:16:56Z
43,Q82tQJyJwgk,2k USD....yea how about Eff Off.,2,2025-01-27T01:19:40Z
44,Q82tQJyJwgk,This gpu makes AMD 7900 XTX look like an even better value prop than it already is.<br>Really the thinking man&#39;s gpu,113,2025-01-23T16:55:48Z
45,Q82tQJyJwgk,"5 big booms <a href=""https://www.youtube.com/watch?v=Q82tQJyJwgk&amp;t=17"">0:17</a>",557,2025-01-23T14:03:19Z
46,Q82tQJyJwgk,NVIDIA next marketing :<br>You don&#39;t need food!,1,2025-01-30T19:16:46Z
47,Q82tQJyJwgk,The Anti-Trust law needs to kick in and NVIDIA needs to be broken up so that there is no fleecing of the customers and no shortage of supplies. This is getting ridiculous. Why was the government sleeping till now?,3,2025-01-27T03:59:18Z
48,Q82tQJyJwgk,"<a href=""https://www.youtube.com/watch?v=Q82tQJyJwgk&amp;t=62"">1:02</a> lmao 😂😂",44,2025-01-23T17:43:32Z
49,Q82tQJyJwgk,"It looks like it has all been said already but &quot;our biggest review&quot; is no lie! <br>What a phenomenal job you guys have done here! The sponsor segments, the different hosts with their own bite-sized subjects, the great differentiation between raw performance and DLSS performance, the great graphs including very solid breadcrumbs on where to look, the exact right amount of humor, objective fact and opinion.<br>Genuinely fantastic, great to see! &lt;3",104,2025-01-23T18:39:16Z
50,Q82tQJyJwgk,"$2,000 is fucking insane for a card, let alone that the performance increase doesn’t meet the price increase. I can’t believe NVIDIA even released this thing 😂",201,2025-01-23T20:42:52Z
51,Q82tQJyJwgk,The biggest paper launch ever.,1,2025-02-02T22:24:26Z
52,Q82tQJyJwgk,"<a href=""https://www.youtube.com/watch?v=Q82tQJyJwgk&amp;t=22"">0:22</a> guys Linus gave the 5090 5 big booms.",24,2025-01-23T18:08:11Z
53,Q82tQJyJwgk,"This is why I love Linus tech tips, they don’t milk Gpu and cpu news for 2 months straight with 2 videos a day with no useful info. Instead they post the day of and post a banger video",168,2025-01-23T15:10:14Z
54,Q82tQJyJwgk,"Elimination of the Moire patterns <a href=""https://www.youtube.com/watch?v=Q82tQJyJwgk&amp;t=735"">12:15</a>  could be a pretty big deal. That specific type of artifact is easily the most noticeable and distracting for me.",30,2025-01-23T18:13:10Z
55,Q82tQJyJwgk,Them Soyboys really go crazy about this overglorified 2000 dollar air-heater.,2,2025-01-29T08:31:02Z
56,Q82tQJyJwgk,"The 7900XTX lags behind in many games by only around 20 FPS, and that&#39;s AMD&#39;s last generation? Hard pass on the 5090 for now. Since I&#39;m not a 4K gamer or interested in AI, I&#39;ll wait for AMD&#39;s next release, compare it to the RTX 4090, and pick one of those as my upgrade.",81,2025-01-23T16:13:52Z
