publishedAt,comment,sentiment_label
2025-01-06 22:28:59-05:00,"""Rtx 5090 will be $1599"" press X to doubt",Neutral
2025-01-06 22:29:14-05:00,"The more money they make, the shinier his jacket gets!!!....",Neutral
2025-01-06 22:29:34-05:00,The unexpected twist is that some of these cards are fairly priced! Maybe I only have to sell a foot!,Positive
2025-01-06 22:30:02-05:00,First 100 comments get a free one???,Neutral
2025-01-06 22:36:36-05:00,"“Video card only compute 2 pixels, rest is AI” So its a brick without dlss?",Neutral
2025-01-06 22:36:36-05:00,I havent even touched 20 series yet dude 😭,Negative
2025-01-06 22:38:25-05:00,That is cool and all...  but can it render that jacket?,Positive
2025-01-06 22:40:50-05:00,A third party 5090 will be around 2500-3000 usa dollars with taxes,Neutral
2025-01-06 22:42:14-05:00,I wish he could use artificial intelligence to reduce the prices of the new Nvidia GPUs,Neutral
2025-01-06 22:43:19-05:00,Leather jacket made from crocodilians - means new higher prices,Neutral
2025-01-06 22:43:53-05:00,Is no one questioning the fact they showed the same thing twice,Neutral
2025-01-06 22:44:28-05:00,Why are they focusing on FrameGen and Raytracing so much? The vast majority of games have horrible raytracing and most games that look great do NOT need raytracing because the artists are competent enough to design lighting properly.  Why can't they just add more VRAM to the cards like everyone's been asking?,Negative
2025-01-06 22:45:31-05:00,Jensen Huang's jacket is Tesselated and has Neural Material,Neutral
2025-01-06 22:49:42-05:00,"Are we going to talk about how the editing mistake in the beginning of the video? Double clip, come on man...",Negative
2025-01-06 22:50:30-05:00,Scalpers gonna love this,Positive
2025-01-06 22:52:33-05:00,His new jacket too has its own money processing cores just like his GPUs,Neutral
2025-01-06 22:53:20-05:00,They enabled ray tracing on Jensens jacket now 😮,Neutral
2025-01-06 22:56:08-05:00,10:10 for the pricing to begin..,Neutral
2025-01-06 22:56:58-05:00,Jensen upgraded his jacket with DLSS 4.,Neutral
2025-01-06 22:57:12-05:00,"5070 aint matching a 4090 with just 12gb of vram sorry its just not especially at 4k, indiana jones for example you need 16gb MINIMUM tk even play it maxed out at 2k. Ill wait till these cards are in tech youtubers hands for the real performance numbers, im gojng to take everything he just said with a pinch of salt.",Neutral
2025-01-06 22:57:28-05:00,When's the 5060 coming?,Neutral
